         k        ht      temp     theta    thetav      pres        pi      rhou      rhow        rv        RH
                [km]       [K]       [K]       [K]     [hPa]             [kg/m3]   [kg/m3]    [g/kg]       [%]
         2      0.35    294.09    300.52    303.25    927.12    0.9786   1.08854   1.12012     14.92     88.77
         3      1.05    288.79    302.05    304.36    854.70    0.9561   1.02338   1.05580     12.56     96.03
         4      1.75    283.73    303.88    305.76    786.68    0.9337   0.96010   0.99182     10.19     99.87
         5      2.45    278.81    305.90    307.36    722.93    0.9114   0.89917   0.92999      7.83     98.58
         6      3.15    273.96    308.08    309.11    663.27    0.8893   0.84075   0.87058      5.47     89.01
         7      3.85    269.17    310.38    310.97    607.52    0.8672   0.78493   0.81373      3.11     65.95
         8      4.55    264.41    312.79    313.22    555.54    0.8453   0.73107   0.75917      2.24     62.75
         9      5.25    259.68    315.30    315.64    507.17    0.8236   0.67976   0.70687      1.79     66.72
        10      5.95    254.96    317.89    318.15    462.22    0.8020   0.63116   0.65719      1.33     67.25
        11      6.65    250.24    320.56    320.73    420.51    0.7806   0.58520   0.61015      0.88     60.80
        12      7.35    245.52    323.30    323.38    381.87    0.7594   0.54179   0.56569      0.42     40.88
        13      8.05    240.79    326.11    326.11    346.12    0.7384   0.50085   0.52371      0.00      0.00
        14      8.75    236.05    328.97    328.97    313.11    0.7175   0.46218   0.48408      0.00      0.00
        15      9.45    231.29    331.90    331.90    282.66    0.6969   0.42583   0.44672      0.00      0.00
        16     10.15    226.50    334.88    334.88    254.63    0.6764   0.39171   0.41162      0.00      0.00
        17     10.85    221.69    337.91    337.91    228.87    0.6560   0.35973   0.37868      0.00      0.00
        18     11.55    216.84    340.99    340.99    205.23    0.6359   0.32978   0.34779      0.00      0.00
        19     12.25    213.74    346.95    346.95    183.67    0.6161   0.29941   0.31777      0.00      0.00
        20     12.95    213.77    358.26    358.26    164.24    0.5967   0.26770   0.28703      0.00      0.00
        21     13.65    213.79    369.94    369.94    146.87    0.5779   0.23936   0.25740      0.00      0.00
        22     14.35    213.82    382.00    382.00    131.34    0.5597   0.21402   0.23086      0.00      0.00
        23     15.05    213.85    394.45    394.45    117.45    0.5421   0.19136   0.20708      0.00      0.00
        24     15.75    213.88    407.31    407.31    105.03    0.5251   0.17111   0.18576      0.00      0.00
        25     16.45    213.91    420.59    420.59     93.93    0.5086   0.15300   0.16666      0.00      0.00
        26     17.15    213.94    434.30    434.30     84.00    0.4926   0.13681   0.14954      0.00      0.00
        27     17.85    213.97    448.46    448.46     75.12    0.4771   0.12233   0.13420      0.00      0.00
        28     18.55    214.00    463.08    463.08     67.18    0.4621   0.10939   0.12044      0.00      0.00
        29     19.25    214.04    478.17    478.17     60.09    0.4476   0.09781   0.10811      0.00      0.00
        30     19.95    214.07    493.76    493.76     53.74    0.4336   0.08747   0.09705      0.00      0.00
        31     20.65    214.11    509.85    509.85     48.06    0.4199   0.07821   0.08714      0.00      0.00
        32     21.35    214.14    526.48    526.48     42.99    0.4068   0.06994   0.07825      0.00      0.00
        33     22.05    214.18    543.64    543.64     38.45    0.3940   0.06255   0.07027      0.00      0.00
        34     22.75    214.22    561.36    561.36     34.39    0.3816   0.05593   0.06312      0.00      0.00
        35     23.45    214.26    579.66    579.66     30.76    0.3696   0.05002   0.05670      0.00      0.00
        36     24.15    214.31    598.55    598.55     27.51    0.3580   0.04473   0.05095      0.00      0.00
        37     24.85    214.35    618.07    618.07     24.61    0.3468   0.04000   0.04578      0.00      0.00
        38     25.55    214.39    638.21    638.21     22.01    0.3359   0.03578   0.04115      0.00      0.00
        39     26.25    214.44    659.02    659.02     19.69    0.3254   0.03200   0.03699      0.00      0.00
