           Initial parcel potential temperature at   0.70km is:  301.23    K
        Initial parcel water vapor mixing ratio at   0.70km is:    11.5 g/kg
   LFC falls between   0.70 km and   2.10   km
    EL falls between   9.10 km and  10.50   km
 CAPE is    1441.188     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.70     11.50    301.23    303.35     -0.41
         3      2.10      9.57    306.46    308.24      1.70
         4      3.50      6.82    314.25    315.55      5.53
         5      4.90      4.56    320.98    321.87      7.45
         6      6.30      2.69    326.88    327.42      7.98
         7      7.70      1.34    331.37    331.64      6.90
         8      9.10      0.53    334.19    334.30      3.87
         9     10.50      0.17    335.57    335.60     -0.79
        10     11.90      0.04    336.07    336.08     -6.48
        11     13.30      0.01    336.20    336.20    -27.85
        12     14.70      0.00    336.23    336.23    -51.94
        13     16.10      0.00    336.24    336.24    -77.66
        14     17.50      0.00    336.24    336.24   -105.08
        15     18.90      0.00    336.24    336.24   -134.33
        16     20.30      0.00    336.24    336.24   -165.50
        17     21.70      0.00    336.24    336.24   -198.75
        18     23.10      0.00    336.24    336.24   -234.20
        19     24.50      0.00    336.24    336.24   -271.99
