           Initial parcel potential temperature at   0.09km is:  300.09    K
        Initial parcel water vapor mixing ratio at   0.09km is:    11.5 g/kg
   LFC falls between   1.66 km and   1.84   km
    EL falls between   9.71 km and   9.89   km
 CAPE is    1075.430     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.09     11.50    300.09    302.20     -0.79
         3      0.26     11.50    300.09    302.20     -0.95
         4      0.44     11.50    300.09    302.20     -1.17
         5      0.61     11.50    300.09    302.20     -1.42
         6      0.79     11.50    300.09    302.20     -1.70
         7      0.96     11.50    300.09    302.20     -2.00
         8      1.14     11.35    300.48    302.56     -1.96
         9      1.31     10.99    301.43    303.45     -1.41
        10      1.49     10.64    302.36    304.32     -0.89
        11      1.66     10.29    303.29    305.19     -0.39
        12      1.84      9.94    304.22    306.06      0.11
        13      2.01      9.60    305.15    306.93      0.59
        14      2.19      9.25    306.07    307.80      1.06
        15      2.36      8.91    307.00    308.67      1.51
        16      2.54      8.58    307.92    309.53      1.95
        17      2.71      8.25    308.83    310.39      2.38
        18      2.89      7.92    309.74    311.24      2.80
        19      3.06      7.59    310.65    312.09      3.21
        20      3.24      7.27    311.55    312.93      3.60
        21      3.41      6.96    312.45    313.77      3.98
        22      3.59      6.64    313.33    314.60      4.34
        23      3.76      6.34    314.21    315.43      4.69
        24      3.94      6.04    315.08    316.24      5.03
        25      4.11      5.74    315.94    317.05      5.29
        26      4.29      5.45    316.79    317.85      5.51
        27      4.46      5.16    317.63    318.63      5.71
        28      4.64      4.88    318.46    319.40      5.89
        29      4.81      4.61    319.27    320.17      6.05
        30      4.99      4.34    320.07    320.91      6.19
        31      5.16      4.08    320.85    321.65      6.31
        32      5.34      3.83    321.61    322.37      6.41
        33      5.51      3.59    322.36    323.07      6.49
        34      5.69      3.35    323.09    323.75      6.55
        35      5.86      3.12    323.80    324.42      6.58
        36      6.04      2.90    324.49    325.06      6.59
        37      6.21      2.69    325.15    325.69      6.58
        38      6.39      2.48    325.80    326.29      6.54
        39      6.56      2.29    326.42    326.87      6.47
        40      6.74      2.10    327.01    327.43      6.37
        41      6.91      1.92    327.58    327.97      6.25
        42      7.09      1.76    328.13    328.48      6.10
        43      7.26      1.60    328.65    328.97      5.92
        44      7.44      1.45    329.14    329.43      5.71
        45      7.61      1.31    329.60    329.86      5.47
        46      7.79      1.18    330.03    330.27      5.20
        47      7.96      1.06    330.44    330.66      4.90
        48      8.14      0.95    330.82    331.01      4.55
        49      8.31      0.84    331.18    331.35      4.17
        50      8.49      0.75    331.50    331.65      3.76
        51      8.66      0.66    331.80    331.94      3.32
        52      8.84      0.58    332.08    332.19      2.86
        53      9.01      0.51    332.33    332.43      2.37
        54      9.19      0.44    332.56    332.65      1.85
        55      9.36      0.39    332.76    332.84      1.31
        56      9.54      0.34    332.95    333.01      0.75
        57      9.71      0.29    333.11    333.17      0.16
        58      9.89      0.25    333.26    333.31     -0.45
        59     10.06      0.21    333.39    333.43     -1.07
        60     10.24      0.18    333.51    333.54     -1.71
        61     10.41      0.15    333.61    333.64     -2.37
        62     10.59      0.13    333.70    333.72     -3.05
