           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     8.8 g/kg
   LFC falls between   2.45 km and   3.15   km
    EL falls between   7.35 km and   8.05   km
 CAPE is    186.3017     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      8.80    300.52    302.13     -1.12
         3      1.05      8.80    300.52    302.13     -2.23
         4      1.75      8.58    301.12    302.69     -3.07
         5      2.45      7.24    304.77    306.12     -1.24
         6      3.15      6.04    308.11    309.25      0.14
         7      3.85      4.92    311.33    312.27      1.30
         8      4.55      3.90    314.35    315.10      1.88
         9      5.25      2.98    317.12    317.69      2.05
        10      5.95      2.20    319.56    319.99      1.84
        11      6.65      1.54    321.65    321.95      1.22
        12      7.35      1.03    323.33    323.53      0.15
        13      8.05      0.65    324.61    324.74     -1.37
        14      8.75      0.39    325.52    325.60     -3.37
        15      9.45      0.22    326.13    326.17     -5.72
        16     10.15      0.11    326.51    326.53     -8.35
        17     10.85      0.06    326.73    326.74    -11.18
        18     11.55      0.03    326.84    326.85    -14.15
        19     12.25      0.01    326.90    326.91    -20.05
        20     12.95      0.00    326.93    326.93    -31.33
        21     13.65      0.00    326.94    326.94    -43.00
        22     14.35      0.00    326.95    326.95    -55.05
        23     15.05      0.00    326.95    326.95    -67.50
        24     15.75      0.00    326.95    326.95    -80.36
        25     16.45      0.00    326.95    326.95    -93.64
        26     17.15      0.00    326.95    326.95   -107.35
        27     17.85      0.00    326.95    326.95   -121.50
        28     18.55      0.00    326.95    326.95   -136.12
        29     19.25      0.00    326.95    326.95   -151.22
        30     19.95      0.00    326.95    326.95   -166.81
        31     20.65      0.00    326.95    326.95   -182.90
        32     21.35      0.00    326.95    326.95   -199.52
        33     22.05      0.00    326.95    326.95   -216.68
        34     22.75      0.00    326.95    326.95   -234.41
        35     23.45      0.00    326.95    326.95   -252.71
        36     24.15      0.00    326.95    326.95   -271.60
        37     24.85      0.00    326.95    326.95   -291.11
        38     25.55      0.00    326.95    326.95   -311.26
        39     26.25      0.00    326.95    326.95   -332.07
