           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    10.5 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   8.75 km and   9.45   km
 CAPE is    764.9773     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     10.50    300.52    302.44     -0.81
         3      1.05     10.50    300.52    302.44     -1.92
         4      1.75      9.57    303.00    304.77     -1.00
         5      2.45      8.20    306.75    308.28      0.92
         6      3.15      6.93    310.29    311.60      2.49
         7      3.85      5.73    313.73    314.83      3.86
         8      4.55      4.62    317.01    317.90      4.68
         9      5.25      3.61    320.06    320.76      5.12
        10      5.95      2.72    322.82    323.36      5.21
        11      6.65      1.97    325.24    325.63      4.89
        12      7.35      1.35    327.25    327.52      4.14
        13      8.05      0.88    328.85    329.02      2.92
        14      8.75      0.54    330.03    330.14      1.16
        15      9.45      0.31    330.84    330.90     -0.99
        16     10.15      0.17    331.37    331.40     -3.48
        17     10.85      0.09    331.68    331.69     -6.22
        18     11.55      0.04    331.85    331.86     -9.13
        19     12.25      0.02    331.94    331.95    -15.01
        20     12.95      0.01    331.99    331.99    -26.27
        21     13.65      0.00    332.01    332.01    -37.93
        22     14.35      0.00    332.02    332.02    -49.98
        23     15.05      0.00    332.02    332.02    -62.43
        24     15.75      0.00    332.02    332.02    -75.29
        25     16.45      0.00    332.02    332.02    -88.57
        26     17.15      0.00    332.02    332.02   -102.28
        27     17.85      0.00    332.02    332.02   -116.44
        28     18.55      0.00    332.02    332.02   -131.05
        29     19.25      0.00    332.02    332.02   -146.15
        30     19.95      0.00    332.02    332.02   -161.74
        31     20.65      0.00    332.02    332.02   -177.83
        32     21.35      0.00    332.02    332.02   -194.45
        33     22.05      0.00    332.02    332.02   -211.62
        34     22.75      0.00    332.02    332.02   -229.34
        35     23.45      0.00    332.02    332.02   -247.64
        36     24.15      0.00    332.02    332.02   -266.53
        37     24.85      0.00    332.02    332.02   -286.04
        38     25.55      0.00    332.02    332.02   -306.19
        39     26.25      0.00    332.02    332.02   -327.00
