           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    11.1 g/kg
   LFC falls between   1.75 km and   2.45   km
    EL falls between   9.45 km and  10.15   km
 CAPE is    1020.084     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     11.10    300.52    302.55     -0.70
         3      1.05     11.10    300.52    302.55     -1.81
         4      1.75      9.92    303.67    305.50     -0.26
         5      2.45      8.55    307.41    309.02      1.65
         6      3.15      7.26    311.02    312.40      3.29
         7      3.85      6.03    314.54    315.70      4.73
         8      4.55      4.89    317.90    318.85      5.63
         9      5.25      3.85    321.05    321.81      6.16
        10      5.95      2.93    323.92    324.50      6.35
        11      6.65      2.13    326.46    326.88      6.15
        12      7.35      1.48    328.59    328.89      5.51
        13      8.05      0.97    330.31    330.50      4.40
        14      8.75      0.60    331.59    331.71      2.74
        15      9.45      0.35    332.49    332.56      0.66
        16     10.15      0.19    333.07    333.11     -1.77
        17     10.85      0.10    333.43    333.45     -4.46
        18     11.55      0.05    333.63    333.64     -7.36
        19     12.25      0.02    333.73    333.74    -13.22
        20     12.95      0.01    333.78    333.79    -24.48
        21     13.65      0.00    333.81    333.81    -36.13
        22     14.35      0.00    333.82    333.82    -48.18
        23     15.05      0.00    333.82    333.82    -60.63
        24     15.75      0.00    333.82    333.82    -73.49
        25     16.45      0.00    333.82    333.82    -86.76
        26     17.15      0.00    333.82    333.82   -100.48
        27     17.85      0.00    333.82    333.82   -114.63
        28     18.55      0.00    333.82    333.82   -129.25
        29     19.25      0.00    333.82    333.82   -144.35
        30     19.95      0.00    333.82    333.82   -159.93
        31     20.65      0.00    333.82    333.82   -176.03
        32     21.35      0.00    333.82    333.82   -192.65
        33     22.05      0.00    333.82    333.82   -209.81
        34     22.75      0.00    333.82    333.82   -227.53
        35     23.45      0.00    333.82    333.82   -245.83
        36     24.15      0.00    333.82    333.82   -264.73
        37     24.85      0.00    333.82    333.82   -284.24
        38     25.55      0.00    333.82    333.82   -304.39
        39     26.25      0.00    333.82    333.82   -325.19
