           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:    12.4 g/kg
   LFC falls between   1.05 km and   1.75   km
    EL falls between  10.15 km and  10.85   km
 CAPE is    1669.520     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35     12.40    300.52    302.79     -0.46
         3      1.05     12.23    300.96    303.21     -1.15
         4      1.75     10.70    305.04    307.03      1.26
         5      2.45      9.32    308.80    310.56      3.20
         6      3.15      7.98    312.56    314.08      4.98
         7      3.85      6.70    316.23    317.52      6.55
         8      4.55      5.50    319.77    320.85      7.62
         9      5.25      4.39    323.13    323.99      8.35
        10      5.95      3.39    326.23    326.90      8.75
        11      6.65      2.52    329.01    329.52      8.79
        12      7.35      1.79    331.41    331.78      8.39
        13      8.05      1.20    333.39    333.63      7.53
        14      8.75      0.76    334.91    335.07      6.10
        15      9.45      0.45    336.01    336.11      4.21
        16     10.15      0.25    336.75    336.80      1.92
        17     10.85      0.13    337.21    337.24     -0.68
        18     11.55      0.07    337.47    337.49     -3.51
        19     12.25      0.03    337.62    337.62     -9.33
        20     12.95      0.01    337.69    337.69    -20.57
        21     13.65      0.01    337.72    337.72    -32.22
        22     14.35      0.00    337.73    337.74    -44.27
        23     15.05      0.00    337.74    337.74    -56.71
        24     15.75      0.00    337.74    337.74    -69.57
        25     16.45      0.00    337.74    337.74    -82.84
        26     17.15      0.00    337.75    337.75    -96.55
        27     17.85      0.00    337.75    337.75   -110.71
        28     18.55      0.00    337.75    337.75   -125.33
        29     19.25      0.00    337.75    337.75   -140.43
        30     19.95      0.00    337.75    337.75   -156.01
        31     20.65      0.00    337.75    337.75   -172.11
        32     21.35      0.00    337.75    337.75   -188.73
        33     22.05      0.00    337.75    337.75   -205.89
        34     22.75      0.00    337.75    337.75   -223.61
        35     23.45      0.00    337.75    337.75   -241.91
        36     24.15      0.00    337.75    337.75   -260.81
        37     24.85      0.00    337.75    337.75   -280.32
        38     25.55      0.00    337.75    337.75   -300.47
        39     26.25      0.00    337.75    337.75   -321.27
