           Initial parcel potential temperature at   0.35km is:  300.52    K
        Initial parcel water vapor mixing ratio at   0.35km is:     7.6 g/kg
   LFC falls between   0.00 km and  -0.35   km
    EL falls between   0.00 km and  -0.35   km
 CAPE is    0.000000     J/kg
         k        ht       rvP       thP      thvP  thv_diff
                [km]   [kg/kg]       [K]       [K]       [K]
         2      0.35      7.60    300.52    301.91     -1.34
         3      1.05      7.60    300.52    301.91     -2.45
         4      1.75      7.60    300.52    301.91     -3.85
         5      2.45      6.61    303.22    304.44     -2.92
         6      3.15      5.44    306.49    307.51     -1.60
         7      3.85      4.38    309.53    310.36     -0.61
         8      4.55      3.42    312.36    313.01     -0.21
         9      5.25      2.58    314.91    315.41     -0.23
        10      5.95      1.86    317.14    317.50     -0.65
        11      6.65      1.28    318.99    319.24     -1.50
        12      7.35      0.84    320.44    320.61     -2.77
        13      8.05      0.52    321.53    321.63     -4.48
        14      8.75      0.30    322.28    322.34     -6.64
        15      9.45      0.17    322.76    322.79     -9.10
        16     10.15      0.09    323.06    323.07    -11.81
        17     10.85      0.04    323.22    323.23    -14.68
        18     11.55      0.02    323.31    323.31    -17.68
        19     12.25      0.01    323.36    323.36    -23.60
        20     12.95      0.00    323.38    323.38    -34.89
        21     13.65      0.00    323.38    323.39    -46.56
        22     14.35      0.00    323.39    323.39    -58.61
        23     15.05      0.00    323.39    323.39    -71.06
        24     15.75      0.00    323.39    323.39    -83.92
        25     16.45      0.00    323.39    323.39    -97.20
        26     17.15      0.00    323.39    323.39   -110.91
        27     17.85      0.00    323.39    323.39   -125.07
        28     18.55      0.00    323.39    323.39   -139.68
        29     19.25      0.00    323.39    323.39   -154.78
        30     19.95      0.00    323.39    323.39   -170.37
        31     20.65      0.00    323.39    323.39   -186.46
        32     21.35      0.00    323.39    323.39   -203.08
        33     22.05      0.00    323.39    323.39   -220.25
        34     22.75      0.00    323.39    323.39   -237.97
        35     23.45      0.00    323.39    323.39   -256.27
        36     24.15      0.00    323.39    323.39   -275.16
        37     24.85      0.00    323.39    323.39   -294.68
        38     25.55      0.00    323.39    323.39   -314.82
        39     26.25      0.00    323.39    323.39   -335.63
