         k        ht      temp     theta    thetav      pres        pi      rhou      rhow        rv        RH
                [km]       [K]       [K]       [K]     [hPa]             [kg/m3]   [kg/m3]    [g/kg]       [%]
         2      0.35    293.54    300.00    300.00    926.72    0.9785   1.10000   1.13226      0.00      0.00
         3      1.05    286.71    300.00    300.00    853.43    0.9557   1.03715   1.06830      0.00      0.00
         4      1.75    279.88    300.00    300.00    784.37    0.9329   0.97650   1.00655      0.00      0.00
         5      2.45    273.05    300.00    300.00    719.40    0.9102   0.91802   0.94699      0.00      0.00
         6      3.15    266.21    300.00    300.00    658.37    0.8874   0.86170   0.88960      0.00      0.00
         7      3.85    259.38    300.00    300.00    601.13    0.8646   0.80751   0.83434      0.00      0.00
         8      4.55    252.55    300.00    300.00    547.53    0.8418   0.75541   0.78120      0.00      0.00
         9      5.25    245.72    300.00    300.00    497.44    0.8191   0.70538   0.73014      0.00      0.00
        10      5.95    238.88    300.00    300.00    450.71    0.7963   0.65740   0.68114      0.00      0.00
        11      6.65    232.05    300.00    300.00    407.20    0.7735   0.61142   0.63416      0.00      0.00
        12      7.35    225.22    300.00    300.00    366.77    0.7507   0.56743   0.58918      0.00      0.00
        13      8.05    218.38    300.00    300.00    329.30    0.7279   0.52540   0.54617      0.00      0.00
        14      8.75    211.55    300.00    300.00    294.64    0.7052   0.48529   0.50510      0.00      0.00
        15      9.45    204.72    300.00    300.00    262.68    0.6824   0.44707   0.46595      0.00      0.00
        16     10.15    197.89    300.00    300.00    233.26    0.6596   0.41072   0.42867      0.00      0.00
        17     10.85    191.05    300.00    300.00    206.28    0.6368   0.37620   0.39324      0.00      0.00
        18     11.55    184.22    300.00    300.00    181.61    0.6141   0.34349   0.35962      0.00      0.00
        19     12.25    177.39    300.00    300.00    159.12    0.5913   0.31254   0.32779      0.00      0.00
        20     12.95    170.56    300.00    300.00    138.69    0.5685   0.28333   0.29772      0.00      0.00
        21     13.65    163.72    300.00    300.00    120.20    0.5457   0.25582   0.26936      0.00      0.00
        22     14.35    156.89    300.00    300.00    103.55    0.5230   0.22997   0.24269      0.00      0.00
        23     15.05    150.06    300.00    300.00     88.61    0.5002   0.20576   0.21766      0.00      0.00
        24     15.75    143.23    300.00    300.00     75.28    0.4774   0.18315   0.19426      0.00      0.00
        25     16.45    136.39    300.00    300.00     63.45    0.4546   0.16209   0.17243      0.00      0.00
        26     17.15    129.56    300.00    300.00     53.01    0.4319   0.14256   0.15214      0.00      0.00
        27     17.85    122.73    300.00    300.00     43.86    0.4091   0.12451   0.13336      0.00      0.00
        28     18.55    115.89    300.00    300.00     35.89    0.3863   0.10791   0.11604      0.00      0.00
